ROM loaded successfully. size of ROM is 1301 bytes.
---LOG START---
IR: SE V0, 40 | I: 0x41D | SP: 0 | V: 10 00 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: JP 22D | I: 0x41D | SP: 0 | V: 10 00 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: DRW V0, V1, 8 | I: 0x41D | SP: 0 | V: 10 00 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: ADD V1, 08 | I: 0x41D | SP: 0 | V: 10 08 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: ADD I, V2 | I: 0x425 | SP: 0 | V: 10 08 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: SE V1, 20 | I: 0x425 | SP: 0 | V: 10 08 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: JP 22D | I: 0x425 | SP: 0 | V: 10 08 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: DRW V0, V1, 8 | I: 0x425 | SP: 0 | V: 10 08 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: ADD V1, 08 | I: 0x425 | SP: 0 | V: 10 10 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: ADD I, V2 | I: 0x42D | SP: 0 | V: 10 10 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: SE V1, 20 | I: 0x42D | SP: 0 | V: 10 10 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: JP 22D | I: 0x42D | SP: 0 | V: 10 10 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: DRW V0, V1, 8 | I: 0x42D | SP: 0 | V: 10 10 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: ADD V1, 08 | I: 0x42D | SP: 0 | V: 10 18 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: ADD I, V2 | I: 0x435 | SP: 0 | V: 10 18 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: SE V1, 20 | I: 0x435 | SP: 0 | V: 10 18 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: JP 22D | I: 0x435 | SP: 0 | V: 10 18 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: DRW V0, V1, 8 | I: 0x435 | SP: 0 | V: 10 18 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: ADD V1, 08 | I: 0x435 | SP: 0 | V: 10 20 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: ADD I, V2 | I: 0x43D | SP: 0 | V: 10 20 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: SE V1, 20 | I: 0x43D | SP: 0 | V: 10 20 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: ADD V0, 08 | I: 0x43D | SP: 0 | V: 18 20 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: LD V1, 00 | I: 0x43D | SP: 0 | V: 18 00 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: SE V0, 40 | I: 0x43D | SP: 0 | V: 18 00 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: JP 22D | I: 0x43D | SP: 0 | V: 18 00 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: DRW V0, V1, 8 | I: 0x43D | SP: 0 | V: 18 00 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: ADD V1, 08 | I: 0x43D | SP: 0 | V: 18 08 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: ADD I, V2 | I: 0x445 | SP: 0 | V: 18 08 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: SE V1, 20 | I: 0x445 | SP: 0 | V: 18 08 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: JP 22D | I: 0x445 | SP: 0 | V: 18 08 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: DRW V0, V1, 8 | I: 0x445 | SP: 0 | V: 18 08 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: ADD V1, 08 | I: 0x445 | SP: 0 | V: 18 10 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: ADD I, V2 | I: 0x44D | SP: 0 | V: 18 10 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: SE V1, 20 | I: 0x44D | SP: 0 | V: 18 10 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: JP 22D | I: 0x44D | SP: 0 | V: 18 10 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: DRW V0, V1, 8 | I: 0x44D | SP: 0 | V: 18 10 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: ADD V1, 08 | I: 0x44D | SP: 0 | V: 18 18 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: ADD I, V2 | I: 0x455 | SP: 0 | V: 18 18 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: SE V1, 20 | I: 0x455 | SP: 0 | V: 18 18 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: JP 22D | I: 0x455 | SP: 0 | V: 18 18 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: DRW V0, V1, 8 | I: 0x455 | SP: 0 | V: 18 18 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: ADD V1, 08 | I: 0x455 | SP: 0 | V: 18 20 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: ADD I, V2 | I: 0x45D | SP: 0 | V: 18 20 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: SE V1, 20 | I: 0x45D | SP: 0 | V: 18 20 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: ADD V0, 08 | I: 0x45D | SP: 0 | V: 20 20 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: LD V1, 00 | I: 0x45D | SP: 0 | V: 20 00 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: SE V0, 40 | I: 0x45D | SP: 0 | V: 20 00 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: JP 22D | I: 0x45D | SP: 0 | V: 20 00 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: DRW V0, V1, 8 | I: 0x45D | SP: 0 | V: 20 00 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: ADD V1, 08 | I: 0x45D | SP: 0 | V: 20 08 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: ADD I, V2 | I: 0x465 | SP: 0 | V: 20 08 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: SE V1, 20 | I: 0x465 | SP: 0 | V: 20 08 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
